word,description,hint,group,subGroup,option1,option2,option3,option4,option5
Andhra Pradesh,Amaravati,Newly designated capital on the Krishna river,State Capitals,South India,Hyderabad,Visakhapatnam,Tirupati,Vijayawada,Guntur
Telangana,Hyderabad,City of Nizams and Charminar,State Capitals,South India,Warangal,Karimnagar,Nalgonda,Khammam,Nizamabad
Tamil Nadu,Chennai,Gateway to South India on the Coromandel Coast,State Capitals,South India,Madurai,Coimbatore,Salem,Tirupur,Trichy
Kerala,Thiruvananthapuram,Named after the sacred serpent Anantha,State Capitals,South India,Kochi,Kozhikode,Thrissur,Kannur,Palakkad
Karnataka,Bengaluru,The Garden City and Silicon Valley of India,State Capitals,South India,Mysuru,Mangaluru,Hubli,Belagavi,Tumkur
Uttar Pradesh,Lucknow,City of Nawabs and Kebabs,State Capitals,North India,Agra,Varanasi,Kanpur,Prayagraj,Mathura
Rajasthan,Jaipur,The Pink City built in 1727 by Maharaja Jai Singh II,State Capitals,North India,Jodhpur,Udaipur,Ajmer,Bikaner,Kota
Punjab,Chandigarh,Planned city designed by Le Corbusier,State Capitals,North India,Amritsar,Ludhiana,Jalandhar,Patiala,Bathinda
Himachal Pradesh,Shimla,Former summer capital of British India,State Capitals,North India,Manali,Dharamshala,Kullu,Mandi,Solan
Uttarakhand,Dehradun,Gateway to Char Dham pilgrimage sites,State Capitals,North India,Haridwar,Rishikesh,Mussoorie,Nainital,Roorkee
Maharashtra,Mumbai,Financial capital and City of Dreams,State Capitals,West India,Pune,Nagpur,Nashik,Aurangabad,Solapur
Gujarat,Gandhinagar,Named after Mahatma Gandhi; youngest planned capital,State Capitals,West India,Ahmedabad,Surat,Vadodara,Rajkot,Bhavnagar
Goa,Panaji,Smallest state capital on the Mandovi river,State Capitals,West India,Margao,Vasco,Mapusa,Ponda,Calangute
West Bengal,Kolkata,City of Joy; cultural capital of India,State Capitals,East India,Siliguri,Asansol,Durgapur,Howrah,Kharagpur
Bihar,Patna,Ancient Pataliputra on the banks of Ganga,State Capitals,East India,Gaya,Muzaffarpur,Bhagalpur,Darbhanga,Bodh Gaya
